Date,Open,High,Low,Close,Adj Close,Volume
2012-07-01,17.904593,20.106760,17.751398,20.049999,19.197168,114668700
2012-08-01,19.283340,21.935518,18.641838,21.299999,20.393999,147063100
2012-09-01,20.508896,23.917469,20.030165,23.299999,22.308929,105214900
2012-10-01,22.299356,22.950430,20.547194,21.500000,20.585493,100313500
2012-11-01,20.614216,21.542957,18.029062,19.100000,18.287579,134704500
2012-12-01,18.392897,20.432299,18.163107,19.549999,18.718435,169019000
2013-01-01,18.718435,20.049313,17.263090,18.230000,17.454582,162472900
2013-02-01,17.473732,17.971613,13.854516,14.490000,13.873665,246567200
2013-03-01,13.797067,17.052446,13.548126,16.900000,16.181154,237527400
2013-04-01,15.970513,18.641838,14.639637,19.190001,18.373749,214532700
2013-05-01,18.507080,19.085728,17.668039,18.969999,18.294909,160125100
2013-06-01,18.372061,18.526367,13.935763,14.800000,14.273308,225812200
2013-07-01,14.369749,15.777792,13.019571,15.380000,14.832667,234920100
2013-08-01,15.199144,17.079748,14.668717,16.049999,15.478823,225017900
2013-09-01,15.797079,17.581244,15.170211,16.959999,16.356438,217411700
2013-10-01,16.539677,18.979643,15.951386,19.540001,18.844625,231572300
2013-11-01,18.613165,19.625799,17.070105,18.320000,17.668039,184139500
2013-12-01,16.279285,16.472168,15.015905,15.990000,15.420959,189853500
2014-01-01,15.420959,15.575265,13.000282,13.770000,13.279963,209928700
2014-02-01,13.183521,13.665728,12.286617,12.990000,12.527720,176813600
2014-03-01,12.527720,14.562632,11.582597,14.960000,14.427614,283692600
2014-04-01,14.427614,15.845301,14.022560,15.680000,15.121991,265205700
2014-05-01,15.680000,17.620001,15.490000,15.610000,15.610000,215388800
2014-06-01,15.860000,17.920000,15.420000,16.240000,16.240000,192781200
2014-07-01,16.260000,19.740000,15.840000,17.990000,17.990000,308845100
2014-08-01,17.950001,22.190001,17.270000,22.080000,22.080000,343103400
2014-09-01,22.610001,23.500000,16.870001,17.250000,17.250000,455962100
2014-10-01,16.820000,21.150000,13.470000,14.650000,14.650000,834934900
2014-11-01,14.440000,14.500000,11.530000,12.180000,12.180000,360826700
2014-12-01,11.780000,12.150000,8.000000,9.590000,9.590000,825270348
2015-01-01,9.590000,10.160000,7.780000,8.040000,8.040000,494962200
2015-02-01,8.280000,10.600000,8.010000,9.480000,9.480000,330373400
2015-03-01,9.360000,9.780000,7.930000,9.590000,9.590000,284398500
2015-04-01,10.600000,15.030000,10.570000,13.630000,13.630000,144380900
2015-05-01,13.450000,13.670000,13.250000,13.520000,13.520000,13215800
2015-06-01,13.530000,15.050000,13.350000,14.030000,14.030000,154501500
2015-07-01,14.190000,14.220000,10.420000,11.580000,11.580000,230193100
2015-08-01,11.510000,11.700000,8.350000,10.620000,10.620000,289883600
2015-09-01,10.180000,10.830000,7.710000,8.540000,8.540000,210242500
2015-10-01,8.700000,11.180000,8.270000,9.700000,9.700000,174491000
2015-11-01,9.380000,10.580000,8.670000,9.410000,9.410000,253148800
2015-12-01,9.350000,10.300000,8.180000,8.570000,8.570000,275574100
2016-01-01,8.570000,8.960000,5.670000,6.930000,6.930000,294238700
2016-02-01,6.810000,7.750000,5.780000,7.350000,7.350000,276496100
2016-03-01,7.590000,11.290000,7.210000,10.630000,10.630000,531975400
2016-04-01,10.310000,13.970000,9.390000,13.270000,13.270000,306221400
2016-05-01,13.330000,13.540000,10.180000,10.180000,10.180000,203136200
2016-06-01,10.150000,12.260000,9.950000,11.510000,11.510000,250707700
2016-07-01,11.550000,14.160000,11.010000,14.010000,14.010000,196704400
2016-08-01,14.040000,15.570000,12.840000,14.740000,14.740000,222874500
2016-09-01,14.790000,16.450001,14.180000,15.140000,15.140000,212295500
2016-10-01,15.290000,19.719999,15.180000,18.639999,18.639999,237937900
2016-11-01,18.719999,18.860001,15.800000,18.469999,18.469999,242836900
2016-12-01,18.469999,19.139999,16.190001,16.940001,16.940001,205343700
2017-01-01,16.700001,18.850000,16.139999,16.190001,16.190001,126208400
2017-02-01,16.480000,17.430000,15.400000,15.960000,15.960000,160321100
2017-03-01,16.370001,16.570000,13.480000,15.150000,15.150000,240969000
2017-04-01,15.160000,15.750000,13.950000,14.360000,14.360000,134758200
2017-05-01,14.360000,16.360001,12.900000,13.620000,13.620000,248707700
2017-06-01,13.830000,14.160000,13.130000,13.330000,13.330000,121085200
